,,,,,,,,,,,,
Document linking code,"Date
","Case Name or Number
[Docket Number]","Expert Presence
[Tag]","Who was the expert instructed by?
[Tag]",Court,Jurisdiction,"Online link to the judgment
[Url]","Keywords
[Tag]","Area of law
[Tag]",Summary,Language,Comments
MT010,2015.06.30,233/2013,,,Qorti Civili (Sezzjoni tal-Familja),Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=95411,Marriage; Moroccan; cultural differences; annulment; Muslim culture; serious defect of discretion,family law,"The plaintiff wife requested annulment of the eight-year marriage with the Moroccan defendant from whom she was already legally separated. From the evidence brought forward by the parties, the couple met in Malta, when the defendant resided at the plaintiff’s father’s house while studying. When his student visa was about to expire, the two decided to get married as they had grown fond of each other. Once married, nothing much changed as the mixed couple continued to live in the house of the plaintiff’s father, they had no offspring and kept their assets separate. The plaintiff motivated her request for annulment claiming that there were irreconcilable differences based on their differing cultures. In particular, the wife complained that she had to cook without pork, that he spent considerable sums of money to see his family in his home country and that the defendant spent considerable time at the Mosque as three of the most pressing cultural problems that arose during marriage. The defendant agreed with the request for annulment but rejected the notion that he should bear the entire costs relating to the proceedings. The Court noted that the requirements for an annulment are fulfilled if the consent of either of the parties is vitiated by a serious defect of discretion of judgment on the matrimonial life, or on its essential rights and duties. It concluded that neither of these were sufficiently proven. The court did not delve into the cultural issues brought forward by the plaintiff but concluded that the cultural problems that supposedly arose after marriage were known beforehand by the couple who had already been living together for a year prior to marrying as well as the fact that the plaintiff’s father was also married to a Muslim and thus the family had exposure to the Muslim culture and traditions. The court rejected the request for annulment and ordered that the expenses be divided equally between the parties.",Maltese,
MT011,2016.01.28,1191/2014/LSO,,,Qorti Civili Prim' Awla,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=98725,Peru; surname; marriage; Peruvian naming system; public Registry; birth certificates,administrative law,"The plaintiffs initiated proceedings requesting that their son’s surname be changed in the Public Registry. The issue stemmed from the fact that in Peru, the father’s country of origin, a Hispanic tradition of giving children the surnames of both parents was followed, with the paternal one preceding the maternal. However, only the paternal part of the father’s surname is passed on to the offspring and the father's second surname, which refers to the father’s maternal surname, was not passed on. The plaintiffs argued that this incongruity would cause the child problems in his frequent travels to see family members residing in Peru. The plaintiffs claimed that in Peruvian culture the father’s dual surname is only passed on to the children in its entirety when he is the sole parent. The plaintiffs also claimed that the surname of his Maltese documents created a discrepancy with what is stated in his Peruvian passport. The plaintiffs thus requested that the Maltese Public Registry alter their son’s surname so as to adhere to the Hispanic system. The Director of Public Registry argued that in 1998, when the birth of the child in question was registered, there was no opportunity to specify the offspring’s surname because the father’s surname (or in certain circumstances, the mother’s surname) was automatically given, in its entirety, without omissions or partial applications. Therefore, the registration was carried out in the correct terms according to Maltese Law. The Court confirmed the Registry’s position and said that even although it is understanding and accepting the cultural differences, the child was born in Malta and consequently the child’s registration should be carried out in conformity to Maltese Law. It added that Maltese law does not cater to foreign laws and customs and the opposite also applies. The court noted how when the couple married in Peru, the mother had herself added her maternal surname to her already present paternal one in order to conform to the laws present in the country of registration. The Court therefore refused the plaintiffs’ requests, with court expenses to be paid by the plaintiffs.",Maltese,
MT012,2008.11.28,33/2007/3,,,Qorti tal-Appell,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=52150,Syrian; courtship; annulment; marriage; short courtships; love; mixed couple,family law,"A Syrian national appealed the decision by the Family courts to annul his marriage to a Maltese woman. The first court concluded that the consent of either of the parties was vitiated by the positive exclusion of marriage itself as the defendant had married for the sole reason of obtaining residence and work permits in Malta. The couple’s version of the events varies greatly on numerous issues including the duration of the courtship and marriage, sexual interaction before and after marriage and their place of residence during that time period. The wife asserted that they had had a seven-month courtship after which they married so that he be allowed to stay in Malta and obtain a work permit. She said that after marriage she never saw him again; they never lived together or had sexual intercourse and he had gone to live with his brother. The husband on the other hand, claimed that he had married out of love and that he was regularly employed even before marriage. He claimed that for two and a half years they lived together as spouses. He also argued that short courtships are common practice in Syria and he was under the impression that the same happened in Malta. The court had found the wife’s version of events more credible, and disputed the defendant’s claim of marrying out of love after such a short courtship, further arguing that at a certain point the husband had left for three months, without his wife, to see his relatives in Syria. The first court also noted that the defendant had failed to provide evidence of their cohabitation or his pre-marriage employment, and thus granted annulment of the marriage and divided expenses between them arguing that wife bore some responsibility for showing lack of responsibility before entering into such an ill-thought marriage. The Court of Appeal confirmed this decision and noted that the appellant had provided the court with his brother’s address when he had been asked for the address of the residence in which he claims the couple had resided in. The court therefore rejected the appeal and ordered that the decision be sent to the Director of the Department of Citizenship and Expatriate Affairs.",Maltese,
MT013,2010.11.16,198/2010,,,Qorti Civili (Sezzjoni tal-Familja),Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=64242,British; Turkish; mixed marriage; marriage values; annulment; Muslim,family law,"The plaintiff of Turkish origin requested the annulment of her marriage to a British national on the basis that the defendant did not wish to have children and failed to show responsibility within the marriage. The wife met her husband, who worked as a bartender, while she was studying in Malta on a student visa and the two got married after a nine-month courtship. After a year together, the wife, a Muslim, stopped taking the contraceptive pill in order to have children. The husband, however, started taking own precautions as he did not want to have any children. Moreover, she wanted to bring the children up in Islamic faith while the defendant opposed to the idea of both having children and the faith to be imposed on them, as he preferred bringing them up as Catholic. The plaintiff cites other cultural differences that emerged after the nuptials including disagreements on food, days of relaxation and type of entertainment. In addition, the defendant stopped working altogether upon marriage and placed the entire financial burden on the plaintiff. The Court agreed on the annulment and ruled in favour of the plaintiff. The Court concluded the defendant incapable of assuming marriage obligations, in particular that of cohabitation between spouses aimed at reciprocal well-being of the parties and the procreation and upbringing of children. This, said the court, prevented the parties from forming between them a union based on love and life. The court further ruled that the fault was entirely of the defendant.",English,
MT014,2007.07.04,480/207,,,Qorti tal-Magistrati (Malta) bhala Qorti ta' Gudikatura Kriminali,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=44190,Maltese culture; religious feast; violence; criminal act; traditional,criminal law,"The Police brought numerous charges against five men, accusing them of threatening, insulting, agitating as well as being violent during a local village feast. The defendants pleaded guilty. The incident happened during the feast of the Trinity in Marsa. The Court took into consideration their early guilty pleas and the fact that they had made an apology to the police members towards which most of the offences were directed. However, the court said that an example should be made of the accused because too often these occasions had been marred by trouble. Although no expert on Maltese culture was appointed, the court went into a detailed discussion on the importance of feasts in Maltese culture. The court established that feasts are part of Maltese culture and fruit of Maltese Catholic faith, adding that it is not acceptable that religious celebrations be the ground for such condemnable behaviour. In its considerations the court went on to say that these feasts have become celebrations of paganism as opposed to honouring God’s name and the Saint that the feasts are named after. It noted that disturbances such as that in the case itself have become a common occurrence and that other incidents such as deaths at fireworks factories have further marred these religious cultural events. The court called upon the Catholic Church to intervene and take the necessary steps to ensure that families attending these events are not placed at risk. The court imposed a conditional discharged on the defendants on the condition that they do not commit any other crime within two years and encouraged them to avoid the Marsa feast for the years to come.",Maltese,
MT015,2013.05.29,396/2011,,,Qorti tal-Appell (Kriminali),Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=81243,Animal cruelty; dog fighting; abuse; Maltese culture; tradition,criminal law,"The defendant appealed the decision of the inferior courts condemning him to nine months imprisonment and a fine of €30,000 after finding him guilty of animal endangerment and mistreatment. The proceedings revolved around a very high-profile case due to the particularly gruesome details surrounding the incident which saw the defendant dispose of his sick dog by placing it alive in a garbage bag and throwing it in a skip under a mountain of rubble. The dog’s cries were heard by passer-byers and the dog was rescued but it later succumbed to its injuries. The defendant argued that there were procedural errors and that the prison sentencing was influenced in part by the great public outcry generated by the story’s publication in the media. The Court of Appeals rejected most of the arguments brought forward by the appellant, reminding him of his previous conviction for animal cruelty, which made a sentence of effective prison time permissible under the law. The court made various considerations regarding the treatment of animals in the Maltese Islands. It denunciated a culture of disregard for animals’ wellbeing that in the court’s belief was ingrained in the Maltese society. The court criticized the nation’s track record in this aspect as many view animals only in light of the financial benefit or enjoyment they bring. The court quoted the Bible whereby Man was ordered to rule over all other creatures and thus is also responsible for their well-being. It went on to list a number of examples of animal mistreatment typical to the local culture such as that of traditional horse-drawn carriages left in the scorching sun without any shelter, a famous case in which a number of cats had been crucified against church doors and bird hunting. On the latter subject it argued that sport hunting is anachronistic as it serves no function except that of human enjoyment and that no enjoyment should ever be obtained through the killing of other living creatures. The court said that emotion derived from killing should have been left to our troglodyte period in history and it is inconceivable how it is still present in the culture of a modern 21st century society. Malta, it argued, should ban it outright to set an example to all of Europe. Banning should occur even if the practice is considered cultural and traditional, as often argued. If the practice in question is morally questionable, said the court, then continuance in the name of tradition reflects very poorly on the present society. The court concluded that the appellant is the result of a system and culture that glorifies humans and humans only without the least consideration on the creatures and suffering caused to them. In its judgement the Court of Appeals confirmed the prison sentence but after taking into consideration the appellant’s financial situation reduced the fine to a mandatory minimum of €4000.",Maltese,
MT016,2020.06.05,797/2018 JVC,,,Qorti Civili Prim' Awla,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=121472,Ethiopian culture; history; French; Italian; surname; name change; Public director,administrative law,"Ethiopia argued the plaintiffs, is formed by a patchwork of languages and dialects which stem from complex historical, geopolitical and cultural influences. Ahmariku is the official language but French and Italian have major roles. Ethiopian plaintiff argued that in Ethiopia name spelling during registration of birth depends greatly on the registrar’s particular social context and that the plaintiff being of French tradition, should have had his surname spelled differently. The issue became even more convoluted when the co-plaintiff and the first child of a marriage with a Maltese national was born. The birth was registered in Ethiopia and apart from being given a variation of the name James, he was also registered as different both to his father’s surname and its preferred adaptation. The plaintiffs presented numerous documentation to show that they are widely known by that surname, including one from the Ethiopian embassy in Rome which confirmed that the plaintiff’s surname pronunciation. In addition, the co-plaintiff stated that he is only known as James and recounted a moment during his school days when his classmates found out about his registered name and he was teased for it. Although that remains one of the only instances in which he remembers being referred to by the given name, he argued this discrepancy causes him inevitable issues when going through official channels. The plaintiffs therefore requested the court to change the surname and consequently that of his descendants including of his four children. The son of the co-plaintiff also requested that his first name be changed. The Registrar defended his position by saying that he only applied the law as written, that the law allows changes to names and not surnames and that his given name was registered in Malta in accordance to what is stated in his Ethiopian birth certificate. The court argued that while it is true that the law does not allow for surname changes, it should not be applied rigorous and surname changes are accepted in circumstances that merit it. The court argued that surname changes are limited by law so as to protect third parties who need to seek process against others, however discrepancies between registered names, their application in documentation and their everyday use constitute a greater hindrance to third parties. The court decided that the plaintiffs had provided enough evidence to prove that they are known by those names and ordered the Director of Public Registry to accede to the plaintiffs’ demands by carrying out the changes requested. The court however did defend the defendant’s actions to be motivated entirely by the written law and thus ordered all expenses to be paid by the plaintiffs.",Maltese,
MT017,2009.05.08,705/2006,,,Qorti tal-Magistrati (Malta) bhala Qorti ta' Gudikatura Kriminali,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=55190,Somalian culture; Khat; drugs; illegal; importation,criminal law,"The Police brought charges against a Somali man, accusing him of having imported psychotropic and restricted drugs and having been in possession of such drugs that were not intended for personal use. The accused was arrested at the Maltese airport with Khat plants in his bag. These plants yield the drugs cathinone and cathine, both of which are controlled substances in the Maltese law. The accused did not contest the charges but instead argued that the Khat plant is widely used in Somalian culture. The accused argued that in Somalian culture Khat is often chewed, but he wanted to put it in soup. The court concluded that foreign customs and ignorance of Malta’s Drug Laws are no justification, and found the defendant guilty of the charges brought forward, condemning him to six months imprisonment, a fine and payment of court fees. The defendant appealed the sentence on the basis that he had imported the Khat plant which was not specifically banned by Maltese law. Maltese law, he argued, only restricted its derivatives cathinone and cathine. For purposes of explanation, the appellant argued that an important distinction can be made between the Khat plan and other drug plants such as the cannabis plant, the coca plant and opium poppy, as in the latter cases the plants themselves were also banned.",English,
MT018,2020.10.29,241/2018,,,Qorti tal-Magistrati (Malta) bhala Qorti ta' Gudikatura Kriminali,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=123720,Somalian; IQ testing; culture; interpretor; criminal responsability; mental health,criminal law,"The Police brought charges against a 23-year-old Somali national accused of attempted theft, of committing a crime during an active suspended sentence of four years, of causing fear of violence against two persons and of being a recidivist. The court appointed an interpreter who stated that even though at a preliminary stage he had managed to effectively communicate with the defendant, he now found that communication had become difficult, and that the latter seemed to no longer understand what was being said. At this point, upon his lawyer’s request, the Court ordered the defendant to undergo a psychiatric evaluation which found him to be mentally unstable, psychotic and unable to understand his criminal responsibility and the ongoing proceedings. The court-appointed psychiatrist said that the young Somali had a history of mental illness and a poor medication adherence which caused him to relapse. Upon hearing this testimony, the Court ordered the Defendant to be hospitalized in order to receive the attention and medication necessary and to resume proceedings only when it is determined that the accused is in a position to comprehend what was being said in Court. The proceedings resumed nineteen months later when the physiatrist at the mental institution where the defendant was being held testified that when she had first met him, he had been in clearly unstable state but that he had made a turn for the better within a few months. She added that the accused suffered from a schizoaffective disorder which made him lose insight, the ability to understand the importance of taking his medications, and that he probably was in the same mental state at the time of the alleged crimes. However, once released he relapsed because in the community he had failed to understand the importance of taking his medications. At this point the psychiatrist professed her suspicions that the defendant also had a limited intellectual ability which is generally determined by an IQ test but which in this case was not possible as the defendant came from a different culture and spoke a different language and therefore applying the normal methodology would not provide reliable results. She recommended that the accused be allowed to live in the community but only if monitored regularly, assisted with life-long care and supported through community-living initiatives. Taking both psychiatric evaluations in consideration the Court found the defendant to have been mentally unstable when the alleged crimes were committed and therefore declared him exempt of all criminal responsibility. It ordered him to be kept under observation at a mental institution and only released after three specialists conclude that he is ready to live in the community.",Maltese,
MT019,2020.07.20,234/13 AL,,,Qorti tal-Appell,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=122550,Regatta; village feast; Maltese culture; care and custody; access to children,family law,"The plaintiff appealed against the Civil Court judgement regarding the care and custody, maintenance and access to her child with the defendant. Both parents had remarried and created separate families since their child’s birth. The plaintiff argued in favour of a greater financial contribution and shorter visiting times by providing various examples to show that the defendant was inadequate in his parental role. She stated that he had once taken their child to the Maltese National Regatta, a traditional rowing event in which Senglea, the defendant’s village of residence famously participates in and in which the child had witnessed a brawl that broke out in the crowd. In addition, she objected to the Court’s decision to allow longer visiting hours during Senglea’s village feast dedicated to the Nativity of the Virgin Mary (Marija Bambina) claiming that the defendant would be inebriated during these festivities and he would therefore be unable to take care of the child, while at the same time exposing him to an environment of excesses. The Court rejected both claims stating that both examples represented aspects of Maltese tradition and culture and it is no fault of the defendant if a fight broke out, while noting that mother had failed to provide evidence to support her insinuations. The court noted that exposure to the village feast can do the child good especially considering that the defendant father is the Mayor of the locality. The Court took the opportunity to encourage the plaintiff appellant to accept the defendant’s active role in the upbringing of their child and that the son they share can only stand to benefit from having contact with both parents and their extended families. In this regard the Court dismissed the mother’s claim that the father did not have time for the child and would end up leaving him with the defendant’s mother concluding that grandparents are integral and important members of society and time spent with them has a beneficial effect on the grandchildren. The Court of Appeals accepted the appellant claims to maintain care and custody of the child but refuted her demands regarding visiting hours and financial support, ordering one-fifth of the court expenses to be borne by the father and the rest by the appellant mother.",Maltese,
